date,tmmx,tmmn,rmax,rmin
2024-01-01,283.7,274.5,87.200005,44.8
2024-01-02,287.9,276.7,63.100002,26.1
2024-01-03,282.3,277.3,68.0,46.4
2024-01-04,283.7,276.8,58.100002,32.9
2024-01-05,285.1,276.5,51.100002,24.300001
2024-01-06,284.5,275.8,48.2,22.2
2024-01-07,280.1,275.1,54.4,35.100002
2024-01-08,279.8,273.6,30.5,14.0
2024-01-09,285.0,273.1,36.600002,10.7
2024-01-10,285.2,275.0,45.3,17.9
2024-01-11,281.3,273.1,75.6,40.600002
2024-01-12,285.2,273.0,37.5,10.8
2024-01-13,287.1,275.1,39.9,12.5
2024-01-14,289.4,278.2,48.8,18.6
2024-01-15,288.1,277.1,59.5,24.6
2024-01-16,290.6,278.6,51.8,18.9
2024-01-17,290.7,279.0,63.3,25.5
2024-01-18,289.6,279.2,66.8,30.300001
2024-01-19,289.2,281.0,53.7,27.300001
2024-01-20,286.6,281.7,75.200005,53.0
2024-01-21,285.5,281.5,89.200005,68.8
2024-01-22,283.0,279.3,100.0,80.200005
2024-01-23,286.5,279.3,98.4,60.8
2024-01-24,286.4,279.4,80.0,48.600002
2024-01-25,288.8,279.5,84.5,43.9
2024-01-26,286.9,280.6,52.9,31.0
2024-01-27,289.2,279.8,47.0,20.6
2024-01-28,290.5,281.6,45.8,20.9
2024-01-29,292.5,280.8,54.5,21.2
2024-01-30,293.3,279.8,58.5,20.0
2024-01-31,288.9,281.2,63.5,35.100002
2024-02-01,283.2,278.8,95.700005,69.0
2024-02-02,283.2,276.8,87.1,53.0
2024-02-03,284.3,276.6,71.700005,37.600002
2024-02-04,283.6,279.4,68.4,46.7
2024-02-05,282.8,279.8,97.5,78.3
2024-02-06,281.4,278.2,100.0,82.200005
2024-02-07,282.0,276.4,87.8,56.8
2024-02-08,280.8,274.2,90.700005,54.4
2024-02-09,281.0,273.7,100.0,59.9
2024-02-10,281.1,275.5,73.5,45.5
2024-02-11,282.6,272.5,67.700005,28.2
2024-02-12,284.6,272.7,69.1,25.1
2024-02-13,287.0,274.6,66.200005,23.0
